Uid,Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time(UTC)
73676230,USDT,AEROUSDT,TRADE,BUY,-256.83537200000000000000,0.00000000000000000000,1.52860000000000000000,0.00000000000000000000,0.00000000000000000000,-256.83537200000000000000,-256.83537200000000000000,55.78582766333375000000,--,2024-12-28 14:51:25
73676230,USDT,AEROUSDT,TRADE,BUY,-55.77861400000000000000,0.00000000000000000000,1.52860000000000000000,0.00000000000000000000,0.00000000000000000000,-55.77861400000000000000,-55.77861400000000000000,0.00721366333375000000,--,2024-12-28 14:51:25
73676230,AERO,AEROUSDT,TRADE,BUY,168.02000000000000000000,0.00000000000000000000,1.52860000000000000000,0.00000000000000000000,-0.11341350000000000000,168.02000000000000000000,167.90658650000000000000,617.28426975000000000000,--,2024-12-28 14:51:25
73676230,AERO,AEROUSDT,TRADE,BUY,36.49000000000000000000,0.00000000000000000000,1.52860000000000000000,0.00000000000000000000,-0.02463075000000000000,36.49000000000000000000,36.46536925000000000000,653.74963900000000000000,--,2024-12-28 14:51:25
73676230,USDT,XAVAUSDT,TRADE,BUY,-3.30750600000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,0.00000000000000000000,-3.30750600000000000000,-3.30750600000000000000,312.62119966333375000000,--,2024-12-28 13:09:09
73676230,XAVA,XAVAUSDT,TRADE,BUY,5.82000000000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,-0.00392850000000000000,5.82000000000000000000,5.81607150000000000000,1758.43989450000000000000,--,2024-12-28 13:09:09
73676230,AERO,AEROUSDT,TRADE,BUY,182.17000000000000000000,0.00000000000000000000,1.52860000000000000000,0.00000000000000000000,-0.12296475000000000000,182.17000000000000000000,182.04703525000000000000,449.37768325000000000000,--,2024-12-28 12:59:15
73676230,USDT,AEROUSDT,TRADE,BUY,-278.46506200000000000000,0.00000000000000000000,1.52860000000000000000,0.00000000000000000000,0.00000000000000000000,-278.46506200000000000000,-278.46506200000000000000,315.92870566333375000000,--,2024-12-28 12:59:15
73676230,USDT,XAVAUSDT,TRADE,BUY,-173.94526400000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,0.00000000000000000000,-173.94526400000000000000,-173.94526400000000000000,594.39376766333375000000,--,2024-12-28 12:56:18
73676230,XAVA,XAVAUSDT,TRADE,BUY,306.08000000000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,-0.20660400000000000000,306.08000000000000000000,305.87339600000000000000,1752.62382300000000000000,--,2024-12-28 12:56:18
73676230,USDT,XAVAUSDT,TRADE,BUY,-32.72271400000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,0.00000000000000000000,-32.72271400000000000000,-32.72271400000000000000,768.33903166333375000000,--,2024-12-28 12:54:51
73676230,XAVA,XAVAUSDT,TRADE,BUY,57.58000000000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,-0.03886650000000000000,57.58000000000000000000,57.54113350000000000000,1446.75042700000000000000,--,2024-12-28 12:54:51
73676230,USDT,XAVAUSDT,TRADE,BUY,-138.21624300000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,0.00000000000000000000,-138.21624300000000000000,-138.21624300000000000000,801.06174566333375000000,--,2024-12-28 12:42:06
73676230,XAVA,XAVAUSDT,TRADE,BUY,243.21000000000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,-0.16416675000000000000,243.21000000000000000000,243.04583325000000000000,1389.20929350000000000000,--,2024-12-28 12:42:06
73676230,XAVA,XAVAUSDT,TRADE,BUY,16.68000000000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,-0.01125900000000000000,16.68000000000000000000,16.66874100000000000000,1146.16346025000000000000,--,2024-12-28 12:32:28
73676230,USDT,XAVAUSDT,TRADE,BUY,-9.47924400000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,0.00000000000000000000,-9.47924400000000000000,-9.47924400000000000000,939.27798866333375000000,--,2024-12-28 12:32:28
73676230,XAVA,XAVAUSDT,TRADE,BUY,41.28000000000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,-0.02786400000000000000,41.28000000000000000000,41.25213600000000000000,1129.49471925000000000000,--,2024-12-28 12:32:01
73676230,USDT,XAVAUSDT,TRADE,BUY,-23.45942400000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,0.00000000000000000000,-23.45942400000000000000,-23.45942400000000000000,948.75723266333375000000,--,2024-12-28 12:32:01
73676230,AERO,AEROUSDT,TRADE,BUY,267.51000000000000000000,0.00000000000000000000,1.52860000000000000000,0.00000000000000000000,-0.18056925000000000000,267.51000000000000000000,267.32943075000000000000,267.33064800000000000000,--,2024-12-28 12:31:19
73676230,USDT,AEROUSDT,TRADE,BUY,-408.91578600000000000000,0.00000000000000000000,1.52860000000000000000,0.00000000000000000000,0.00000000000000000000,-408.91578600000000000000,-408.91578600000000000000,972.21665666333375000000,--,2024-12-28 12:31:19
73676230,USDT,XAVAUSDT,TRADE,BUY,-31.68840800000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,0.00000000000000000000,-31.68840800000000000000,-31.68840800000000000000,1381.13244266333375000000,--,2024-12-28 12:27:41
73676230,XAVA,XAVAUSDT,TRADE,BUY,55.76000000000000000000,0.00000000000000000000,0.56830000000000000000,0.00000000000000000000,-0.03763800000000000000,55.76000000000000000000,55.72236200000000000000,1088.24258325000000000000,--,2024-12-28 12:27:41
